UMAP Dim 1,UMAP Dim 2
4.807478,4.4297667
7.2421136,3.4218106
3.8748379,5.047159
6.7535605,6.968707
4.6396775,6.778932
4.3783913,6.25288
7.7793045,7.4868402
5.790685,3.0972586
7.2483625,8.134162
7.80303,5.83788
7.525636,7.216318
9.000786,3.779627
6.0635324,8.262966
2.7155993,4.7870574
7.1397867,5.878008
6.1089087,7.5738397
2.7805684,4.4229445
7.4557576,6.3629804
9.032818,4.519658
4.437998,5.678097
7.2203217,6.0572195
9.065754,6.072098
9.226698,3.823483
9.301352,3.5888374
3.2644713,5.034728
7.9092846,3.4710982
6.104751,2.9592981
3.616298,4.823116
9.02382,6.954982
5.6492686,7.2302966
4.9147825,4.368421
6.783555,9.703506
6.643524,2.866459
6.556847,6.339975
6.740754,9.810659
7.1484747,8.7976055
8.688731,3.727375
8.528649,5.326868
2.449715,4.2977643
5.954646,8.254352
9.189703,4.3278294
7.7836785,6.7254395
4.792053,4.9856086
8.598394,7.33231
2.5481715,6.339785
6.1392784,3.324445
8.3935585,6.625837
8.953496,7.5664682
6.5355935,6.1430044
9.263137,5.149661
5.5088167,7.3811364
5.0321727,6.8719482
7.891637,6.28059
8.965608,6.5406365
5.1981916,5.667766
6.089196,7.6656294
4.912787,4.3947434
1.7935996,4.8554897
7.4560184,5.657681
5.908231,5.6771817
7.861927,9.355054
7.2423735,5.560296
1.8810592,5.2976565
9.034254,5.8410163
5.712717,7.8971972
8.446353,7.4018435
8.633784,4.9162445
6.420197,8.960494
3.901208,4.4500523
9.501531,7.506512
2.5852408,5.3605995
4.667562,6.5953193
8.807482,3.7117598
2.181266,5.544086
4.0206294,5.5544143
8.396982,4.024281
9.529534,7.6977997
1.9691873,4.726298
2.6557312,5.77045
4.7467732,4.5123396
6.9203563,5.7793455
6.0365195,7.8506265
7.803195,7.5200353
9.790624,7.082304
6.3942294,6.4907174
8.314088,4.208896
5.4990096,8.635929
6.762746,6.6694202
3.9626853,5.678164
4.9807153,7.2337675
9.176507,8.04145
7.780328,6.1832643
8.149768,8.957282
5.582735,7.915333
4.6437044,6.6996403
7.1384425,8.582713
8.381945,7.001608
7.6979833,5.862633
4.6262293,2.8049145
4.65673,5.0049148
5.7952538,6.672077
5.777389,6.3691707
6.354141,5.077029
5.8824205,2.9636855
3.805271,5.341524
9.513407,8.031143
5.217143,7.8053246
7.34986,8.078075
6.7217445,2.7994456
7.9201436,9.072103
5.4728003,2.848797
5.44116,8.72058
6.908993,6.5907426
4.405579,6.031343
7.546359,5.555956
7.1697254,8.135525
8.802961,3.9252245
6.2445164,7.2727523
5.4487095,8.796721
7.9784865,6.521648
5.117345,6.525269
6.4361887,7.290754
5.902965,8.170649
7.3674746,8.891364
4.4347076,4.4222383
9.215837,5.825897
9.1783695,3.4513533
8.487062,6.664615
9.385154,8.381835
6.195123,8.423039
4.8504295,3.161835
6.604811,6.6214733
6.3434386,4.782948
8.235774,5.8490915
7.4162917,8.67262
9.266581,3.5236413
2.4363737,5.6247325
2.5856154,5.899552
5.6388283,8.458369
5.8505063,4.863494
6.904416,8.278212
6.575478,2.8277426
4.436611,6.540496
6.773398,3.8569336
5.525122,8.957626
9.375996,5.9315376
8.8585005,3.8462255
3.6435134,6.3852005
3.906806,4.421241
5.066693,3.9181654
5.812469,9.176301
3.7630982,6.003209
6.065725,7.618455
9.306398,8.282299
6.95545,8.437173
9.099941,8.5407
9.158538,3.6186116
4.9541883,4.4658637
7.6263995,6.0000744
7.258405,5.8975096
4.863776,2.576013
7.2155027,8.891882
7.449567,8.792644
5.652647,8.189263
8.902447,3.9446957
5.83315,9.111455
9.093093,5.7511935
7.8669086,9.169261
3.5173979,5.966157
7.5831823,6.7356133
5.8535953,8.858969
2.0428889,6.0367203
6.6271935,9.789896
6.6913486,6.264511
6.659621,3.6226888
4.7091393,4.2276325
5.0710087,8.474179
7.2392883,6.19796
2.628183,6.14975
2.5348856,6.2435484
7.700439,8.767498
6.703533,7.9954147
5.0603228,5.7270722
6.2880254,6.2561393
5.165401,2.6128154
6.6940203,8.66847
6.5826426,6.3255076
5.750699,2.7309647
3.5917764,6.109394
9.26143,8.301482
7.377852,3.7310464
3.254166,3.7858407
5.6174946,9.01338
3.8149846,5.480125
2.4723737,6.6584306
5.3329754,7.2492547
2.9397998,4.125865
2.5325835,6.946943
6.8466988,2.8494565
4.5620255,8.127717
4.8683276,2.5983734
5.4199233,7.7420745
2.3404377,5.468955
7.562439,8.900715
8.988926,7.908929
2.653521,6.01619
8.834144,3.594472
8.520931,4.648029
7.09231,4.605184
9.384486,8.372647
7.358416,5.686966
5.969364,3.1354992
8.265527,5.2147274
5.660874,8.988761
5.7772074,9.145693
5.592005,5.410931
3.2056503,3.7527368
4.8454924,6.9926496
2.51692,5.503554
5.1581388,7.4390707
2.9159756,6.0333824
4.740349,5.1635485
3.904838,4.3706946
2.3877046,6.6759763
5.505729,5.0366654
6.5899935,6.3598504
8.226943,3.474377
3.232058,3.6630654
2.0490324,4.5206213
5.478008,8.881169
7.9737177,9.305373
9.316217,7.2555833
4.5615573,5.745178
7.7346625,3.9845195
7.0713744,4.732121
8.927776,8.64698
8.480026,7.2698417
6.8540773,9.729463
2.9049854,4.902378
7.2891483,5.9225416
5.2522287,8.579666
6.8438897,8.382932
3.9211042,5.9218307
5.0791993,2.6454017
9.292221,5.1934443
4.225381,6.2175117
8.420637,3.8764582
3.7218854,6.5395947
4.649252,4.161062
6.369565,8.076191
4.7844863,5.4059997
6.5972753,5.5378456
7.603042,8.915681
6.9172225,5.73024
2.2816186,5.498259
6.520603,6.925457
6.0583115,7.5164127
6.4203205,4.9961696
6.692998,6.17054
6.6440263,9.832002
6.6703315,6.028729
6.979709,5.3999705
6.396941,4.754051
8.92564,4.551158
8.896814,7.784831
2.4591296,4.3435473
8.420054,5.0243645
5.613907,7.8705077
5.5918126,8.997905
5.0145273,2.591812
4.5179796,8.075571
8.852015,8.760666
6.535034,9.637495
4.8445034,3.5112002
7.0385976,4.6389766
4.7092347,6.2691283
9.791262,7.094887
6.5678697,7.05841
2.8021905,5.824821
2.9957304,4.0575805
8.423117,6.843719
2.922955,4.0067053
7.7091546,7.7805
8.215658,5.0078835
3.898128,4.657577
7.796169,6.9000297
6.3906384,5.828024
8.114142,9.019014
6.656448,9.8479185
6.6314063,9.934224
2.8800843,6.305673
4.6855154,3.1460867
5.8602505,2.9194915
9.304675,7.2471495
9.255378,7.5778093
4.0071616,5.7605577
9.042045,5.160098
4.4811535,8.109026
3.2635574,3.8512487
8.009019,9.390894
6.5432854,4.993281
6.5549827,7.433006
9.257429,3.5896335
7.3469086,9.145135
3.0118332,3.9708462
9.252519,8.143423
7.4323072,3.512
9.569195,7.1451573
8.987994,8.615359
9.565807,7.1661053
5.970941,5.671467
7.229821,4.050286
6.2184944,3.1929092
2.8251185,5.483329
5.604297,6.4931917
4.777926,6.329289
3.3427892,3.932247
5.4848022,3.0628853
9.153647,4.011365
7.0747986,7.409785
2.2853937,6.3027763
2.4641736,4.3337994
4.1109366,5.6394978
8.865544,4.0433116
5.503847,8.091699
3.6925204,4.5066514
5.6187253,8.347191
2.4179916,6.696716
4.55873,6.390773
5.277281,2.730358
7.165787,6.5876265
3.166022,5.43944
7.1033273,6.419571
6.9202514,8.480678
8.784852,7.3520036
3.0941808,3.8607562
3.6652427,5.305169
3.8146844,4.7564316
3.0155988,6.03651
5.1295156,3.5363004
6.753906,3.3283885
4.4088783,5.142202
5.875822,8.397343
4.621196,5.9025655
8.479823,7.525609
7.784112,4.3493724
5.13837,3.5200546
7.4987054,8.778461
7.345035,5.545243
2.2549512,5.5275617
2.4222834,5.446051
7.5907927,5.519894
1.9267869,5.6513114
9.572878,7.3426766
7.6071706,6.2298837
5.836817,9.186624
1.959136,4.6989365
4.9353695,2.5786557
3.1360211,6.922611
2.0103433,4.4073806
2.0061553,5.9069767
4.1967425,3.6539013
7.2100654,4.137198
7.8503237,7.610833
3.338312,3.725109
5.6664586,5.1762557
8.856511,7.2942023
4.7985926,7.0635166
5.480612,3.5992143
7.365935,7.9957867
4.947534,7.3176994
6.35771,7.403285
9.404999,7.533514
6.592266,6.1775503
2.5834315,6.980903
3.113167,5.7688394
9.743044,7.147484
8.540945,8.733526
6.581448,5.7969084
2.9511986,3.93108
4.9406347,4.048692
5.3133216,5.5000825
3.1835625,4.762797
8.020773,5.1240687
5.3415866,8.260567
4.8313465,4.1546645
8.463826,6.5584416
7.2062745,3.5027163
6.6284885,8.217741
5.1219716,5.8713174
5.900202,8.031367
6.372645,4.7803807
8.25744,7.017144
6.1362057,5.7464104
4.2935443,4.0681353
4.0556993,6.0819526
2.9915767,3.9238858
5.2110806,7.521497
7.1991487,3.4021304
9.457045,7.185738
6.9557805,7.6134477
8.072165,4.902001
7.911216,7.569847
2.5285707,5.5630226
4.185684,5.493681
8.488076,6.081999
3.8381402,6.191542
7.2682343,8.206075
9.10649,5.794861
2.6441374,4.7524786
6.7902956,5.863925
9.306969,8.351578
6.053822,5.190808
2.6644442,4.3065567
5.8421874,3.0049305
9.717116,7.5303617
3.1836998,3.7678862
5.907067,3.9868557
8.06081,4.95309
8.186361,5.3814454
6.656626,8.489182
6.4945273,7.1352825
7.991595,3.909543
4.9557533,7.199265
7.503259,8.63656
8.715968,4.492809
4.535365,8.117645
4.520443,6.0852165
6.6942854,6.0115767
9.398019,7.1662703
7.297271,5.590815
4.8575025,2.6476102
8.031478,9.293049
7.154778,7.384079
7.434449,5.564119
2.388963,6.26767
3.4594123,5.656053
4.3808007,3.2547126
8.444314,7.517608
6.0248337,7.5806503
1.9466132,5.374856
9.102309,7.255794
6.0540767,5.527068
3.8178267,5.067481
8.109761,7.0025516
9.242738,4.981665
6.4352384,4.8869643
7.479317,5.632404
5.0661836,4.8873286
6.9398174,5.710204
8.733002,3.6171212
7.0249925,5.1641283
7.4811263,6.8684483
6.923951,6.3721523
6.627824,7.23304
4.6357145,4.9769793
4.820946,4.9468985
9.106544,4.3307867
7.581657,7.149023
6.4964247,6.110601
9.367322,8.391919
5.7019176,7.9703035
4.7889276,6.639035
4.455765,5.076641
2.1044767,4.3794203
5.839042,4.7048364
8.53041,3.6584015
7.3799267,6.188914
9.145413,3.701132
5.5065413,7.075521
9.090947,5.6750855
7.7994056,3.5739136
8.939055,4.0578837
6.9100943,8.22075
6.879359,5.555255
6.5710053,3.1481025
4.3385615,4.7728577
5.2893925,5.221399
4.604299,5.434144
9.301335,7.1284976
6.3799453,3.292924
5.9350834,5.6582627
9.2517805,3.622034
5.9912114,5.2377257
4.9231186,2.6298285
7.116562,5.792693
8.0725,4.9942217
9.683198,7.0770617
6.1871486,5.6577773
3.2346945,3.7533
6.8433323,6.3051
7.4450994,8.667515
9.36488,7.326041
3.032731,3.8365672
9.548214,7.401132
8.408376,7.0604615
2.568793,6.984866
8.311405,4.3843975
3.0106459,5.0357494
5.641694,3.0856202
3.3160138,5.9480023
5.163103,3.9110005
9.241733,7.4667764
3.476551,6.3710136
3.908002,5.0074763
6.3939095,4.8328414
8.090619,5.496255
4.3350525,3.101641
2.10949,4.304641
8.928006,8.671348
7.7030354,6.0766835
4.88937,2.5934134
8.293867,4.4839215
9.919693,7.033207
4.4913917,6.0192666
7.2554555,3.0593843
5.643247,3.2821224
8.062586,4.824245
8.031785,9.321304
9.361564,8.382897
2.6553183,7.1495705
8.924845,8.66408
1.8260818,4.959671
8.783608,4.598147
7.4306135,6.9429226
5.1790085,2.5352297
7.9552746,8.0757065
5.6335173,2.657303
3.9136682,4.6283092
3.4209466,3.5178857
7.549706,3.6028078
6.7009225,8.102909
9.108196,4.500932
9.226037,4.5372066
4.2293024,6.0858755
3.881961,4.49812
5.110318,5.7481174
4.018775,4.297722
6.371056,4.4773884
7.8029747,6.106309
9.010313,6.9060535
1.9598548,4.422564
7.811978,4.2015843
3.9365644,6.381797
5.5348287,7.356673
6.0078893,4.303071
1.9034011,5.0279207
6.358845,5.1788726
6.740625,2.8031127
6.6176953,6.607043
3.1441298,3.7263346
7.992027,9.088695
9.5956955,7.3059907
8.079289,3.7882502
5.653371,6.257395
3.269543,5.6259246
4.2713394,6.2998133
3.3051865,6.5804653
1.8848292,4.95981
3.5049603,6.0235343
8.107209,6.4423084
5.2337313,5.5974627
3.2334075,4.275986
2.0065808,4.605128
7.933123,7.7629447
3.805238,5.1109824
9.422447,8.391586
7.4616723,3.732428
4.9405346,6.466937
2.968796,5.957541
6.685067,8.832796
4.815681,4.0152392
4.743937,2.6319902
6.9417934,4.511581
7.790103,6.0254827
8.03457,9.325833
2.490203,5.672796
6.366924,8.079112
9.021625,4.144877
7.7318664,7.7851415
3.033945,5.6751122
7.18935,8.112661
2.7218966,4.1695
4.531966,4.1138124
4.9661336,3.5093336
8.832827,5.462448
8.141932,3.8905544
6.354129,8.124702
7.372996,8.66306
9.103832,5.7957172
7.2256036,6.443691
7.410186,3.5322201
4.9340496,5.2135634
9.424169,7.8261437
3.098805,5.650611
7.9883747,9.29687
6.854317,3.3169446
8.685377,4.5283012
8.216764,4.545501
5.4590316,7.409283
4.5119343,8.045476
6.8931675,3.2906854
4.9055433,5.2861357
4.4573045,3.013291
6.521648,5.243974
5.738419,7.98789
3.7882338,5.801094
8.035384,5.016735
7.208019,4.007668
7.306786,6.93166
5.475108,8.24504
5.3287973,2.63014
7.620912,3.5341427
6.47209,8.890124
8.784493,6.3018303
4.578523,4.962053
9.289414,5.18009
5.133873,5.8520975
4.4393954,5.700221
8.12678,4.6109285
7.4703,3.6193798
8.296868,6.809505
3.1010578,4.7708626
6.9863143,8.327049
7.7438407,5.0959926
5.2136784,2.9446285
6.6741104,8.8418255
5.679642,7.9505787
7.356404,8.847963
5.4277263,7.6391478
4.341718,3.5577178
2.542459,7.022741
6.9706573,4.4958453
9.211629,8.432412
8.985541,7.690011
9.249809,3.9747546
2.7110713,7.0783467
2.0623312,4.9248905
4.228665,6.1852036
9.319713,8.319991
9.148449,3.549572
9.205457,8.157542
6.6791325,5.2906656
6.622781,9.509341
1.8113014,4.572899
6.541854,4.885809
2.5451968,5.455684
8.176043,7.2429223
6.0691695,5.2786098
7.218475,6.277438
6.390933,2.7404718
6.71069,2.8308573
3.1205916,5.684767
8.116898,5.3301454
2.5125997,6.3039627
9.556929,7.4523487
6.952924,8.901252
1.9899838,4.4356756
7.984412,3.4500844
6.410566,6.757744
5.009198,5.7744737
7.346085,3.722483
4.4527435,3.4467745
2.7351477,6.076239
8.91114,4.1088624
7.575451,5.9321756
2.9052057,4.1282787
6.645766,9.853189
4.9291368,2.6505997
2.6168923,4.870986
6.994702,3.3370132
7.616677,3.720211
6.35579,4.8269477
7.816231,8.745873
4.242834,2.9560134
9.37011,8.0278015
5.210601,8.501072
3.9629912,6.474607
8.921937,7.7742524
4.260225,3.3232384
7.1118326,5.5605707
4.8087373,6.8646746
2.7863934,6.7697725
4.717886,5.636507
2.9323812,6.602573
8.768896,7.4142623
9.270038,3.6623998
3.9423876,4.2701163
1.8475553,5.3647485
8.830116,3.6415887
4.076906,5.1961374
4.163135,5.836884
8.829534,6.7702966
4.125978,3.3440807
9.3989725,8.370493
4.838841,6.989095
2.701169,4.313036
4.0083795,4.6669507
5.898941,8.701966
3.539932,5.4661846
5.311564,8.667072
2.216727,4.195017
5.1827335,6.1060243
6.7038527,6.6264834
7.5699196,3.6747446
6.8463593,4.7233453
6.330545,5.142282
5.1573334,7.530345
4.7390866,8.284269
4.93771,7.2070236
2.6103833,5.375211
2.6379385,5.460704
5.5532637,8.215276
7.6058054,3.7581027
7.630203,5.1159573
7.0737557,7.7010756
3.6708343,4.5406966
7.8212466,7.252009
9.341665,7.244006
7.609001,7.660567
8.680822,7.30425
6.6684794,3.3456855
8.158652,4.65126
6.771785,3.3545723
5.763737,2.9384098
5.857497,2.9863527
5.9508295,9.274936
7.992454,5.051816
6.316715,8.128795
9.350233,8.092492
6.5677347,7.9709587
6.888601,3.1147854
7.243583,7.6493526
1.8810586,4.812791
1.8468003,5.3039565
9.445209,6.158853
5.866308,4.04576
4.4500203,6.419944
7.2392626,8.176111
7.193605,4.0926704
9.3092785,3.548011
6.10935,3.0917697
6.50256,5.227841
7.8783703,3.4865172
1.8634384,4.6915073
6.213352,4.9055896
7.2685947,4.870224
5.2826767,6.5062547
9.2420025,3.9610345
7.196805,8.207063
7.694315,5.542563
6.9742756,8.377678
3.7292612,4.5634375
6.1168976,9.136222
1.845497,5.2479897
5.473408,8.899467
8.506002,6.44887
4.1663322,6.314236
7.5665765,8.890855
6.8535495,8.298297
2.0951583,5.4071355
9.039541,3.9685707
7.1959977,3.8125026
6.3656993,4.6808977
8.2923975,5.3112307
8.259492,4.5826993
7.6431665,7.324998
8.266376,7.2411222
6.4988804,7.47662
7.450972,4.4619036
6.738085,8.0325365
4.369197,2.9897132
8.03946,7.423494
9.114722,4.287049
5.541552,6.433421
4.377293,3.6341536
6.4551697,6.9052134
7.273154,6.5250354
2.4038172,5.749977
2.5347154,6.965642
8.274093,3.6371038
4.059312,3.2199843
4.5537353,7.940553
6.7136526,9.86167
4.0642014,6.0006123
3.4455025,6.1581106
6.465742,5.002875
8.925113,8.655542
4.702381,4.1302643
8.416251,7.558004
4.1598473,3.6751933
2.7503774,4.722709
9.304997,3.9827273
7.9750323,7.7910724
8.892612,8.451377
5.626669,5.6772933
4.886784,6.228653
8.128119,4.3891783
5.12501,5.8058343
9.002128,4.255059
8.248074,6.6464553
4.878738,4.3083725
4.086181,5.236271
4.3165936,5.241569
8.126074,5.538911
4.2739716,3.2402105
3.4238408,3.8257499
1.883163,4.4992476
3.1661496,7.078763
9.087928,3.7472432
1.7840106,4.699998
2.8795092,6.104014
6.922196,7.289421
6.1493125,7.621134
